index,value,error
0.03,0.170260726,0.0024232788
0.035,0.165690948,0.0022342979
0.04,0.159885838,0.0020789841
0.045,0.153204032,0.0019480683000000004
0.05,0.145945035,0.0018356348000000003
0.055,0.138358886,0.0017377016000000003
0.06,0.13064674199999998,0.0016514597
0.065,0.12296997300000001,0.0015748558999999999
0.07,0.115451082,0.0015063343000000001
0.075,0.108187924,0.0014446951000000002
0.08,0.10124691699999999,0.0013889766000000003
0.085,0.094670498,0.0013383943999999998
0.09,0.08848201300000001,0.0012922983000000002
0.095,0.082695669,0.0012501496
0.1,0.077304724,0.0012114783
0.105,0.072300854,0.00117589
0.11,0.067664831,0.0011430383000000002
0.115,0.063371471,0.0011126197
0.12,0.059399339,0.0010843769
0.125,0.055721349,0.0010580793999999999
0.13,0.052309762999999995,0.0010335245
0.135,0.049140943,0.0010105379
0.14,0.04619551400000001,0.0009889700000000003
0.145,0.043448855,0.0009686817000000001
0.15,0.040885514,0.0009495584
0.155,0.038491948,0.0009314994
0.16,0.036249483,0.0009144085
0.165,0.034146159,0.0008982057
0.17,0.032169552000000004,0.0008828179
0.175,0.030297141,0.0008681680000000001
0.18,0.028512935,0.000854192
0.185,0.026781222,0.0008408110999999999
0.19,0.02507018,0.0008279558000000002
0.195,0.023328023,0.0008155414000000001
0.2,0.021485261000000002,0.0008034712
0.205,0.019461621000000002,0.0007916428
0.21,0.017146991,0.00077993
